service_id,name,platform,service_type,category,rate_twd,rate_usd,min,max,refill,cancel,dripfeed,currency
106,Facebook 🥇全球粉絲貼文按哇～😲Wow [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
107,Facebook 🥇全球粉絲貼文按哭哭😢Sad [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
108,Facebook 🥇全球粉絲貼文按加油🥰Care [快速高品質] [不補讚],Facebook,Followers/Subscribers,Facebook 台灣/全球貼文按讚服務👍 (FB Like提升貼文讚數及曝光度),600.0,18.75,50,10000,No,Yes,No,TWD
353,Facebook 🥇S2 台灣Facebook貼文自訂留言內容 [FB華人粉絲帳號] [自然速度] [專用主機]⭐,Facebook,Followers/Subscribers,Facebook 客製化貼文留言 及 粉專五星好評 和貼文分享服務🌟 (FB提升討論度和品牌信任度),35000.0,1093.75,1,2000,No,No,No,TWD
224,Facebook 🥇全球FB貼文客製化留言 [外國粉絲帳號] [自訂內容] [自然速度],Facebook,Followers/Subscribers,Facebook 客製化貼文留言 及 粉專五星好評 和貼文分享服務🌟 (FB提升討論度和品牌信任度),10000.0,312.5,5,2000,No,Yes,No,TWD
110,Facebook 🥇FB增加貼文分享次數 Share [慢速穩定] [提升觸及率] [不補量],Facebook,Views/Plays,Facebook 客製化貼文留言 及 粉專五星好評 和貼文分享服務🌟 (FB提升討論度和品牌信任度),1000.0,31.25,50,1000000,No,Yes,No,TWD
422,Facebook 🥇FB加直播觀看人數【30分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),1200.0,37.5,10,50000,No,No,No,TWD
423,Facebook 🥇FB加直播觀看人數【60分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),2400.0,75.0,10,50000,No,No,No,TWD
424,Facebook 🥇FB加直播觀看人數【90分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),3600.0,112.5,10,50000,No,No,No,TWD
425,Facebook 🥇FB加直播觀看人數【120分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),4800.0,150.0,10,50000,No,No,No,TWD
426,Facebook 🥇FB加直播觀看人數【150分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),6000.0,187.5,10,50000,No,No,No,TWD
427,Facebook 🥇FB加直播觀看人數【180分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),7200.0,225.0,10,50000,No,No,No,TWD
428,Facebook 🥇FB加直播觀看人數【210分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),8400.0,262.5,10,50000,No,No,No,TWD
429,Facebook 🥇FB加直播觀看人數【240分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),9600.0,300.0,10,50000,No,No,No,TWD
526,Facebook 🥇FB加直播觀看人數【300分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),12000.0,375.0,20,20000,No,No,No,TWD
527,Facebook 🥇FB加直播觀看人數【360分鐘】🔴[慢速穩定] [下單後10-20分鐘開始進人]⭐,Facebook,Live Stream Viewers,Facebook 快速增加直播人數🔴 (FB衝線上觀看人數、成為最強的臉書直播主),14400.0,450.0,10,50000,No,No,No,TWD
95,Facebook 🚀FB Views S1增加影片觀看流量次數🥇 [自然速度] [30天補量],Facebook,Views/Plays,Facebook 影片觀看次數 以及 Reels短影片服務🎥 (臉書提升視頻流量，成為FB熱門影片 ),200.0,6.25,100,10000000,No,No,No,TWD
315,🥇Facebook 📹 S20 FB Reels提高短影片觀看流量 [慢速穩定] [30天補量],Facebook,Views/Plays,Facebook 影片觀看次數 以及 Reels短影片服務🎥 (臉書提升視頻流量，成為FB熱門影片 ),200.0,6.25,100,100000000,No,No,No,TWD
310,👍Facebook 🥇 Reels短片全球粉絲高品質按讚 Like [正常速度] [不補讚],Facebook,Followers/Subscribers,Facebook 影片觀看次數 以及 Reels短影片服務🎥 (臉書提升視頻流量，成為FB熱門影片 ),500.0,15.625,30,10000,No,No,No,TWD
400,👍Facebook 🥇Reels華人中文帳號短影片按讚 Like [慢速穩定] [不補讚],Facebook,Views/Plays,Facebook 影片觀看次數 以及 Reels短影片服務🎥 (臉書提升視頻流量，成為FB熱門影片 ),2000.0,62.5,1,10000,No,No,No,TWD
37,Instagram 🥇全球高品質粉絲 [慢速穩定] [30天補粉] [國外混和粉絲],Instagram,Followers/Subscribers,Instagram 指定國家粉絲 Fans服務🙋‍♂️🙋‍♀️ (全球粉絲、全世界追隨者),700.0,21.875,100,1000000,No,Yes,No,TWD
44,Instagram 🥇全球粉絲高品質讚 Likes [帳號大部分都有頭像] [慢速穩定] [30天補讚],Instagram,Followers/Subscribers,Instagram 最強貼文按讚愛心 及 IG分享和珍藏服務❤️ (Reels讚、Likes、Save、Share全部適用),400.0,12.5,100,1000000,No,No,No,TWD
233,Instagram 🥇 IG貼文 / 影片增加收藏次數服務 Save [快速],Instagram,Likes/Reactions,Instagram 最強貼文按讚愛心 及 IG分享和珍藏服務❤️ (Reels讚、Likes、Save、Share全部適用),300.0,9.375,10,1000000,No,No,No,TWD
234,Instagram 🥇 IG貼文 / 影片提升分享次數服務 Share [快速],Instagram,Likes/Reactions,Instagram 最強貼文按讚愛心 及 IG分享和珍藏服務❤️ (Reels讚、Likes、Save、Share全部適用),500.0,15.625,100,500000,No,Yes,No,TWD
601,🥇Instagram 👁️‍🗨️貼文照片觀看次數增加 [自然速度] [專用主機] [30天補量],Instagram,Views/Plays,Instagram 貼文照片觀看次數📸(IG貼文相片最新瀏覽提升服務),120.0,3.75,100,10000000,No,Yes,No,TWD
602,🥇Instagram 👀貼文相片觀看次數提升 [緩慢速度] [備用主機] [30天補量],Instagram,Views/Plays,Instagram 貼文照片觀看次數📸(IG貼文相片最新瀏覽提升服務),120.0,3.75,100,500000,No,Yes,No,TWD
52,🥇Instagram 📹Reels 短影片觀看流量最新版 [自然速度] [30天補量],Instagram,Views/Plays,Instagram 影片觀看流量最新服務 [官方最新演算法]🚀 (Reels短視頻、IG All Video),130.0,4.0625,100,10000000,No,Yes,No,TWD
465,🥇Instagram 📽Reels 短影音觀看次數提升 [備用主機] [慢速穩定] [30天補量],Instagram,Views/Plays,Instagram 影片觀看流量最新服務 [官方最新演算法]🚀 (Reels短視頻、IG All Video),130.0,4.0625,100,399999999,No,No,No,TWD
456,Instagram 🥇全球影片按讚【Videos、Reels、IGTV Likes】 [外國帳號] [正常速度] [30天補讚],Instagram,Views/Plays,Instagram 影片觀看流量最新服務 [官方最新演算法]🚀 (Reels短視頻、IG All Video),250.0,7.8125,10,300000,No,No,No,TWD
457,Instagram 🥇IG影片收藏服務【Videos、Reels、IGTV Saves】[正常速度] [30天補量],Instagram,Views/Plays,Instagram 影片觀看流量最新服務 [官方最新演算法]🚀 (Reels短視頻、IG All Video),300.0,9.375,10,1000000,No,No,No,TWD
458,Instagram 🥇IG影片分享服務【Videos、Reels、IGTV Sharing】[正常速度] [30天補量],Instagram,Views/Plays,Instagram 影片觀看流量最新服務 [官方最新演算法]🚀 (Reels短視頻、IG All Video),500.0,15.625,10,1000000,No,No,No,TWD
54,Instagram Story 🥇全球粉絲限時動態單純觀看人數 [快速穩定] [當下所有限動都增加],Instagram,Followers/Subscribers,Instagram Story限時動態服務😎 (IG限動觀看人數),150.0,4.6875,100,300000,No,No,No,TWD
561,Instagram Story 🥇全球粉絲限時動態增加觀看人數 [ 同步提升觸及帳號 + 曝光次數] [指定限動],Instagram,Followers/Subscribers,Instagram Story限時動態服務😎 (IG限動觀看人數),200.0,6.25,10,5000,No,Yes,No,TWD
610,Instagram 🥇提升貼文的互動次數 Engagement [快速],Instagram,Views/Plays,Instagram 洞察報告數據提升，增加IG演算法觸及率📈 (Impressions、Profile Visit、Reach),130.0,4.0625,100,100000,No,No,No,TWD
56,Instagram 🥇提高觸及帳號人數 Reach   [快速],Instagram,Views/Plays,Instagram 洞察報告數據提升，增加IG演算法觸及率📈 (Impressions、Profile Visit、Reach),120.0,3.75,10,1000000,No,No,No,TWD
57,Instagram 🥇增加個人/商業檔案瀏覽次數 Profile Visit [快速],Instagram,Views/Plays,Instagram 洞察報告數據提升，增加IG演算法觸及率📈 (Impressions、Profile Visit、Reach),150.0,4.6875,10,1000000,No,No,No,TWD
532,Instagram 🥇貼文/影音自動全球外國按讚【未來50則】👍[自然速度] [Auto Post Like],Instagram,Views/Plays,Instagram 🔄自動化貼文 / 影音觀看按讚服務🚀 (IG Auto Views &amp; Like),12500.0,390.625,50,10000,No,No,No,TWD
533,Instagram 🥇貼文/影音自動全球外國按讚【未來100則】👍[自然速度] [Auto Post Like],Instagram,Views/Plays,Instagram 🔄自動化貼文 / 影音觀看按讚服務🚀 (IG Auto Views &amp; Like),25000.0,781.25,50,25000,No,No,No,TWD
534,Instagram 🥇Reels自動加觀看次數【未來50部影片】📈[自然速度] [Reels Auto Views],Instagram,Views/Plays,Instagram 🔄自動化貼文 / 影音觀看按讚服務🚀 (IG Auto Views &amp; Like),6000.0,187.5,100,1000000,No,No,No,TWD
535,Instagram 🥇Reels自動加觀看次數【未來100部影片】📈[自然速度] [Reels Auto Views],Instagram,Views/Plays,Instagram 🔄自動化貼文 / 影音觀看按讚服務🚀 (IG Auto Views &amp; Like),12000.0,375.0,100,1000000,No,No,No,TWD
585,Threads 🥇高品質華人粉絲|台港澳粉絲[中文相關] [不補粉] [官方更新非常慢速，著急者不要下單],Instagram,Followers/Subscribers,Threads 脆增加粉絲人數➕以及脆貼文案讚服務🎉 (最新文字版Instagram),2600.0,81.25,10,1000,No,No,No,TWD
595,Threads 🥇高品質華人脆文按讚👍[中文相關] [不補讚] [官方更新非常慢速，著急者不要下單],Instagram,Followers/Subscribers,Threads 脆增加粉絲人數➕以及脆貼文案讚服務🎉 (最新文字版Instagram),2300.0,71.875,10,1000,No,No,No,TWD
70,Twitter 🥇全球推特高品質粉絲 [慢速穩定] [不補粉] [大部分都有頭像以及描述],Twitter/X,Followers/Subscribers,Twitter 推特加粉絲追隨者服務 Ｘ 🧑‍🦰 (全球穩定Follower、NFT加密貨幣粉絲，成人推主粉),1600.0,50.0,100,200000,No,No,No,TWD
432,Twitter 🥇S2全球推特高品質粉絲 [慢速穩定] [不補粉] [備用主機]  [大部分都有頭像],Twitter/X,Followers/Subscribers,Twitter 推特加粉絲追隨者服務 Ｘ 🧑‍🦰 (全球穩定Follower、NFT加密貨幣粉絲，成人推主粉),1600.0,50.0,500,6500000,No,No,No,TWD
328,Twitter 🥇推特增加貼文觀看流量Views [快速穩定] [30天補量],Twitter/X,Views/Plays,Twitter 全球推特貼文觀看提升服務 Ｘ 🌟 ( Tweet Views),100.0,3.125,100,100000000,No,No,No,TWD
72,Twitter 🥇全球推特高品質愛心讚 [快速穩定] [不補讚] [大部分都有頭像以及描述],Twitter/X,Likes/Reactions,Twitter 全球推特貼文按讚愛心服務 Ｘ 🌟 (各國Likes，NFT、Crypto Likes),800.0,25.0,10,10000,No,No,No,TWD
78,Twitter 🥇推特影片觀看流量 [快速穩定] [30天補量],Twitter/X,Views/Plays,Twitter 影片觀看流量服務 Ｘ 🚀(推特Video Views),100.0,3.125,100,1000000,No,Yes,No,TWD
336,TikTok 🥇全球高品質抖音粉絲 [快速穩定] [30天補粉] [全球唯一快速加粉]🔥,TikTok,Followers/Subscribers,TikTok 增加抖音全球粉絲服務👩‍🦰 (1000粉絲快速開通直播以及自訂連結功能),800.0,25.0,10,1000000,No,No,No,TWD
113,Tiktok 🥇台灣抖音增加影片觀看流量 [快速穩定Views] [30天補量],TikTok,Views/Plays,TikTok 抖音觀看流量、點讚、分享、收藏等最強服務👍 (幫助你的視頻提升上推薦的機率),80.0,2.5,100,2147483647,No,No,No,TWD
114,Tiktok 🥇台灣抖音提升影片點讚愛心 [快速穩定Likes] [30天補讚],TikTok,Views/Plays,TikTok 抖音觀看流量、點讚、分享、收藏等最強服務👍 (幫助你的視頻提升上推薦的機率),350.0,10.9375,50,30000,No,No,No,TWD
115,Tiktok 🥇台灣抖音增加影片分享轉發 [快速穩定Shares] [30天補量],TikTok,Views/Plays,TikTok 抖音觀看流量、點讚、分享、收藏等最強服務👍 (幫助你的視頻提升上推薦的機率),300.0,9.375,100,150000,No,No,No,TWD
230,Tiktok 🥇台灣抖音提升影片收藏次數 [快速穩定Save] [30天補量],TikTok,Views/Plays,TikTok 抖音觀看流量、點讚、分享、收藏等最強服務👍 (幫助你的視頻提升上推薦的機率),300.0,9.375,10,100000,No,No,No,TWD
158,Tiktok 🥇S1外國抖音粉絲客製化評論✍️[全球專用主機] [自然速度],TikTok,Followers/Subscribers,TikTok 抖音留言評論服務✍️ (自訂內容、隨機評論，創造人氣討論短視頻),10000.0,312.5,10,160000,No,No,No,TWD
528,Tiktok 🥇S2國外抖音粉絲自訂留言✍️[全球備用主機] [自然速度],TikTok,Followers/Subscribers,TikTok 抖音留言評論服務✍️ (自訂內容、隨機評論，創造人氣討論短視頻),10000.0,312.5,10,100000,No,No,No,TWD
157,Tiktok 🥇全球抖音粉絲隨機評論🚀[隨機英文內容] [自然速度],TikTok,Followers/Subscribers,TikTok 抖音留言評論服務✍️ (自訂內容、隨機評論，創造人氣討論短視頻),7000.0,218.75,10,3000,No,No,No,TWD
155,Youtube S11🥇YT頻道訂閱人數[慢速主機][30天補粉][全球大更新，訂單爆量，只能緩慢增加]🙆‍♂️,YouTube,Followers/Subscribers,Youtube 提升頻道訂閱人數服務 Subscribe💪 (成為YT熱門頻道Channel),2500.0,78.125,100,2000,No,No,No,TWD
316,Youtube 📽 S1 全球YT影片觀看流量提升 Views🥇 [慢速穩定] [30天補量] ⭐,YouTube,Views/Plays,Youtube 提升影片觀看流量Views服務🚀 (成為YT人氣發燒視頻),180.0,5.625,100,110000000,No,No,No,TWD
126,Youtube 📽 S2 全球YT影片觀看流量提升 Views🥇[備用主機] [慢速穩定] [30天補量] ⭐,YouTube,Views/Plays,Youtube 提升影片觀看流量Views服務🚀 (成為YT人氣發燒視頻),180.0,5.625,100,110000000,No,No,No,TWD
354,Youtube 🎥 S3 全球YT影片點閱率大量增加 🥇[大流量Views專用主機] [快速穩定] [50天補量]🔥,YouTube,Views/Plays,Youtube 提升影片觀看流量Views服務🚀 (成為YT人氣發燒視頻),185.0,5.78125,5000,5000000,No,Yes,No,TWD
471,Youtube 🎥 S5 全球YT影片流量迅速提升 🥇[大點閱率Views專用主機] [快速穩定] [50天補量],YouTube,Views/Plays,Youtube 提升影片觀看流量Views服務🚀 (成為YT人氣發燒視頻),185.0,5.78125,3000,2000000,No,No,No,TWD
125,Youtube 🥇YT全球高品質影片按讚👍Likes [快速穩定] [30天補讚],YouTube,Views/Plays,Youtube增加影片按讚Likes👍 及 分享次數Share🔁 (提升排名演算法觸及率🚀),1000.0,31.25,10,75000,No,No,No,TWD
539,Youtube 🥇S2 YT全球高品質按讚👍Likes [備用主機] [自然速度] [30天補讚],YouTube,Views/Plays,Youtube增加影片按讚Likes👍 及 分享次數Share🔁 (提升排名演算法觸及率🚀),1000.0,31.25,10,50000,No,No,No,TWD
469,Youtube 🥇YT影片分享轉發次數🔁Share [慢速穩定] [30天補量],YouTube,Views/Plays,Youtube增加影片按讚Likes👍 及 分享次數Share🔁 (提升排名演算法觸及率🚀),1000.0,31.25,100,100000,No,No,No,TWD
123,Youtube 📹YT Shorts 短影片觀看次數提升🥇 [快速] [30天補量],YouTube,Views/Plays,Youtube Shorts 增加短影音流量 / 點讚 / 分享服務 (成為YT熱門短視頻),180.0,5.625,100,1000000,No,No,No,TWD
124,Youtube 🥇YT Shorts 短影片按讚👍Likes [穩定快速] [30天補讚],YouTube,Likes/Reactions,Youtube Shorts 增加短影音流量 / 點讚 / 分享服務 (成為YT熱門短視頻),1000.0,31.25,10,250000,No,No,No,TWD
470,Youtube 🥇YT Shorts 短影片分享轉發次數🔁Share [慢速穩定] [30天補量],YouTube,Likes/Reactions,Youtube Shorts 增加短影音流量 / 點讚 / 分享服務 (成為YT熱門短視頻),1000.0,31.25,50,10000,No,No,No,TWD
568,Youtube 🥇YT全球高品質社群貼文按讚👍Likes [快速穩定] [30天補讚],YouTube,Likes/Reactions,Youtube 社群貼文高品質按讚👍（YT頻道Community提升讚數🆙）,1000.0,31.25,10,50000,No,No,No,TWD
569,Youtube 🥇S8 YT全球社群貼文按讚👍Likes [備用主機] [自然速度] [30天補讚],YouTube,Likes/Reactions,Youtube 社群貼文高品質按讚👍（YT頻道Community提升讚數🆙）,1000.0,31.25,10,100000,No,No,No,TWD
173,Youtube 🥇YT全球帳號客製化評論✍️[備用主機] [自然速度],YouTube,Comments,Youtube YT留言評論服務✍️ (自訂內容、隨機評論，創造人氣討論影片),10000.0,312.5,5,10000,No,No,No,TWD
206,Youtube 🥇YT衝直播觀看人數【30分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人]🔥,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),2000.0,62.5,50,50000,No,No,No,TWD
207,Youtube 🥇YT衝直播觀看人數【60分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人]🔥,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),4000.0,125.0,50,300000,No,No,No,TWD
208,Youtube 🥇YT衝直播觀看人數【90分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人]🔥,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),6000.0,187.5,50,500000,No,No,No,TWD
209,Youtube 🥇YT衝直播觀看人數【120分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人]🔥,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),8000.0,250.0,50,300000,No,No,No,TWD
210,Youtube 🥇YT衝直播觀看人數【180分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人]🔥,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),12000.0,375.0,50,300000,No,No,No,TWD
302,Youtube 🥇YT衝直播觀看人數【240分鐘】🔴[慢速穩定] [下單後5-20分鐘開始進人],YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),16000.0,500.0,50,500000,No,No,No,TWD
409,✨-------若上面的YT直播服務都無法使用，請改下方Youtube直播備用主機，請自行看清楚再下單-------✨,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),10000.0,312.5,1000000,1000000,No,No,No,TWD
410,Youtube 🥇YT直播增加觀眾人數【30分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),2000.0,62.5,50,400000,No,No,No,TWD
411,Youtube 🥇YT直播增加觀眾人數【60分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),4000.0,125.0,50,400000,No,No,No,TWD
412,Youtube 🥇YT直播增加觀眾人數【90分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),6000.0,187.5,50,400000,No,No,No,TWD
413,Youtube 🥇YT直播增加觀眾人數【120分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),8000.0,250.0,50,400000,No,No,No,TWD
414,Youtube 🥇YT直播增加觀眾人數【180分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),12000.0,375.0,50,400000,No,No,No,TWD
474,Youtube 🥇YT直播增加觀眾人數【240分鐘】🔴[備用主機２] [5-20分鐘開始]✅,YouTube,Live Stream Viewers,Youtube 快速增加直播人數🔴 (YT衝線上觀看人數、成為最熱門的頻道),16000.0,500.0,50,400000,No,No,No,TWD
128,Twitch 🥇圖奇全球高品質追隨者 [慢速穩定] [30天補粉],Twitch,Followers/Subscribers,Twitch 增加追隨者 及 影片流量服務😊 (圖奇快速加粉絲及觀看流量),700.0,21.875,10,10000,No,No,No,TWD
245,Twitch 🎥圖奇 Views 增加影片觀看流量次數🥇 [快速穩定] [30天補量],Twitch,Followers/Subscribers,Twitch 增加追隨者 及 影片流量服務😊 (圖奇快速加粉絲及觀看流量),180.0,5.625,50,999991,No,No,No,TWD
138,Twitch 🥇圖奇直播觀看人數【30分鐘】🔴[快速穩定] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),1600.0,50.0,20,10000,No,No,No,TWD
141,Twitch 🥇圖奇直播觀看人數【60分鐘】🔴[快速穩定] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),3200.0,100.0,20,10000,No,No,No,TWD
142,Twitch 🥇圖奇直播觀看人數【120分鐘】🔴[快速穩定] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),6400.0,200.0,20,10000,No,No,No,TWD
398,Twitch 🥇圖奇直播觀看人數【180分鐘】🔴[快速穩定] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),9600.0,300.0,20,10000,No,No,No,TWD
399,Twitch 🥇圖奇直播觀看人數【240分鐘】🔴[快速穩定] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),12800.0,400.0,20,10000,No,No,No,TWD
460,Twitch 🥇圖奇直播增加直播觀眾【30分鐘】⭐[直播備用主機] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),1600.0,50.0,10,10000,No,No,No,TWD
461,Twitch 🥇圖奇直播增加直播觀眾【60分鐘】⭐[直播備用主機] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),3200.0,100.0,10,10000,No,No,No,TWD
462,Twitch 🥇圖奇直播增加直播觀眾【120分鐘】⭐[直播備用主機] [5-20分鐘開始],Twitch,Live Stream Viewers,Twitch 增加直播觀看人數🔴 (圖奇衝線上Live人數，成為熱門實況主),6400.0,200.0,10,10000,No,No,No,TWD
